drug_id,disease_name,disease_specific_drug_approval_status
D0TA4A,Abortion,Phase 2
D09SWM,Abortion,Investigative
D07PCI,Abortion,Approved
D04RGA,Abortion,Approved
D03ZFN,Acidosis,Approved
D04KYB,Acne vulgaris,Phase 2
D08TEJ,Acne vulgaris,Approved
D00DKK,Acne vulgaris,Approved
D02DGU,Acne vulgaris,Approved
D0D0QQ,Acne vulgaris,Phase 3
D0JC9N,Acne vulgaris,Approved
D0W9JH,Acne vulgaris,Discontinued in Phase 2
D07UGA,Acne vulgaris,Phase 1
D01PHK,Acne vulgaris,Phase 2
D09AYM,Acne vulgaris,Phase 2
D0Y7ZD,Acne vulgaris,Approved
D0T5TN,Acne vulgaris,Phase 2
D2FCM4,Acne vulgaris,Phase 2
D0E4WR,Acne vulgaris,Approved
D06ULU,Acne vulgaris,Approved
D0O6WJ,Acne vulgaris,Terminated
D0M4VM,Acne vulgaris,Approved
D0OL6O,Acne vulgaris,Approved
D0L5KF,Acne vulgaris,Discontinued in Phase 1
D00UWY,Acne vulgaris,Phase 2
D0UF8E,Acne vulgaris,Phase 2
D0W5PN,Acne vulgaris,Phase 2
D0R0ZL,Acne vulgaris,Approved
D0T6EI,Acne vulgaris,Approved
D0IJ7O,Acne vulgaris,Phase 1
D0C1SI,Acne vulgaris,Discontinued in Phase 2
D0P9EL,Acne vulgaris,Discontinued in Phase 1
D05AFR,Acne vulgaris,Approved
D0R9WP,Acne vulgaris,Approved
D0Z1UB,Acne vulgaris,Phase 2
D0Z5DM,Acne vulgaris,Phase 1
D06FOU,Acne vulgaris,Approved
D0C4NY,Acne vulgaris,Approved
D0O6NA,Acne vulgaris,Phase 2
D0Y2IE,Acute bronchitis,Approved
D07UKT,Acute myeloid leukaemia,Phase 1
D08TNG,Acute myeloid leukaemia,Phase 1
D0OC4O,Acute myeloid leukaemia,Phase 3
D06LYI,Acute myeloid leukaemia,Phase 1/2
D09DHT,Acute myeloid leukaemia,Phase 2
D0Q0ZY,Acute myeloid leukaemia,Phase 1/2
D0RA5Q,Acute myeloid leukaemia,Approved
D20IMG,Acute myeloid leukaemia,Phase 1
D5VRX2,Acute myeloid leukaemia,Phase 3
D09NTC,Acute myeloid leukaemia,Phase 3
D05XDZ,Acute myeloid leukaemia,Phase 3
D0F2JS,Acute myeloid leukaemia,Phase 2
DN5CM6,Acute myeloid leukaemia,Phase 3
DOJG79,Acute myeloid leukaemia,Phase 1
D06OES,Acute myeloid leukaemia,Phase 1
D0UJ3C,Acute myeloid leukaemia,Phase 1/2
