drug_id,target_id,drug_mechanism_of_action_on_target
D02IWC,T29683,Modulator
D0TA4A,T28213,Antagonist
D09SWM,T40628,Inhibitor
D07PCI,T75797,Modulator
D04RGA,T99954,Antagonist
D03ZFN,T55922,Inhibitor
D04KYB,T11211,Enhancer
D08TEJ,T11211,Antagonist
D00DKK,T11822,Agonist
D02DGU,T11822,Binder
D0D0QQ,T11822,Inhibitor
D0JC9N,T11822,Binder
D0W9JH,T11822,Modulator
D07UGA,T13852,Inhibitor
D01PHK,T15639,Modulator
D09AYM,T16340,Inhibitor
D0Y7ZD,T20514,Inhibitor
D0T5TN,T22095,Inhibitor
D2FCM4,T22348,Inhibitor
D0E4WR,T27265,Inhibitor
D06ULU,T31621,Modulator
D0O6WJ,T34234,Modulator
D0M4VM,T34287,Inhibitor
D0OL6O,T42822,Activator
D0L5KF,T46521,Inhibitor
D00UWY,T46616,Modulator
D0UF8E,T50584,Inhibitor
D0W5PN,T52534,Inhibitor
D0R0ZL,T53601,Binder
D0T6EI,T62094,Inhibitor
D0IJ7O,T68251,Inhibitor
D0C1SI,T70309,Inhibitor
D0P9EL,T70309,Inhibitor
D2FCM4,T72545,Inhibitor
D05AFR,T72657,Binder
D0R9WP,T72657,Binder
D0Z1UB,T76855,Modulator
D0Z5DM,T78429,Inhibitor
D02DGU,T82146,Agonist
D06FOU,T82146,Agonist
D0C4NY,T89534,Modulator
D0O6NA,T95302,Antagonist
D0Y2IE,T34743,Binder
D07UKT,T00176,Antagonist
D08TNG,T00176,Inhibitor
D0OC4O,T00176,Modulator
D06LYI,T01232,Immunomodulator
D09DHT,T02262,Activator
D0Q0ZY,T03634,Modulator
D0RA5Q,T03691,Inhibitor
D20IMG,T03963,Inhibitor
D5VRX2,T04773,Inhibitor
D09NTC,T06273,Inhibitor
D05XDZ,T08014,Inhibitor
D0F2JS,T08743,Inhibitor
DN5CM6,T10191,Inhibitor
DOJG79,T10822,Inhibitor
D06OES,T10877,CAR-T-Cell-Therapy
D0UJ3C,T10877,CAR-T-Cell-Therapy
D0V6WU,T10877,CAR-T-Cell-Therapy
D0S7LG,T11211,Inhibitor
DFC0V4,T12646,Inhibitor
D07NPS,T13127,Modulator
D0I5DP,T14912,Inhibitor
D7LC8N,T14912,Inhibitor
D0F2JS,T15610,Inhibitor
D0V5JH,T15739,Immunomodulator (Immunostimulant)
D0Q5GK,T15867,CAR-T-Cell-Therapy
D09WOY,T16156,Agonist
D09TGX,T16422,Modulator
D08UVN,T16601,CAR-T-Cell-Therapy
D03EOZ,T16739,Inhibitor
D0R7CD,T16739,Inhibitor
DI17KH,T16739,Inhibitor
D03MXK,T16769,Inhibitor
DCT2Q3,T17048,
DS4JE8,T17485,Inhibitor
D0LG8T,T17986,Inhibitor
DNM79H,T17986,Inhibitor
D04WHM,T18779,Modulator
D07OAD,T18779,Inhibitor
D0DJ8S,T18779,CAR-T-Cell-Therapy
D0IQ3E,T18779,CAR-T-Cell-Therapy
D0JW9E,T18779,CAR-T-Cell-Therapy
D0K7FT,T20808,Inhibitor
D0K9PC,T20808,Inhibitor
D0WH4P,T20808,Inhibitor
D01XWG,T21112,Modulator
D0KE1F,T21112,Inhibitor
DT3BA1,T25005,Inhibitor
D06DCL,T25258,Modulator
D0LG8T,T25265,Inhibitor
DNM79H,T25265,Inhibitor
D08NZG,T28413,Antagonist
D02AAO,T28484,Inhibitor
D0W9SL,T28484,Modulator
D02ZXM,T28925,Intercalator
D02JEW,T29960,
D02MLO,T29960,
D0P2ZY,T29960,Modulator
D0RG8Z,T29960,
D0RX7Z,T30081,Inhibitor
D5VRX2,T30827,Inhibitor
DM9GO4,T30846,Inhibitor
D0L3KA,T30926,Modulator
D74BRK,T31309,Inhibitor
DBY42T,T31309,
DP63FS,T31309,Inhibitor
D05LGX,T31424,Antagonist
D0R8IE,T34234,Agonist
D0T9SJ,T34234,Modulator
D0I7PU,T35063,Modulator
D03MXK,T35173,Inhibitor
D08YHE,T35289,CAR-T-Cell-Therapy
D0NC9M,T35289,CAR-T-Cell-Therapy
D0QR2K,T35289,CAR-T-Cell-Therapy
D07UKT,T36741,Inhibitor
D04JSI,T37434,CAR-T-Cell-Therapy
D01KKI,T38950,
D03HSA,T38950,Inhibitor
D04MGW,T38950,
D06EWO,T38950,
D0C4GN,T38950,CAR-T-Cell-Therapy
D0G9MY,T38950,CAR-T-Cell-Therapy
D0IJ1D,T38950,Inhibitor
D0JT0U,T38950,CAR-T-Cell-Therapy
D0LP7U,T38950,Modulator
D0P6YN,T38950,CAR-T-Cell-Therapy
D0TV6H,T38950,Inhibitor
D0W2BF,T38950,Antagonist
D5T9GZ,T38950,
D8AOC1,T38950,Inhibitor
D9OZ3B,T38950,Inhibitor
DB4C5H,T38950,
DNS2P1,T38950,Inhibitor
DQD1T2,T38950,Inhibitor
DSI4G9,T38950,
DMKG40,T40490,
D01LVE,T40556,Modulator
D02YNI,T40556,Modulator
D05ICT,T40556,Inhibitor
D07GHA,T40556,Inhibitor
D00BYM,T40694,Modulator
D03HUX,T40694,Inhibitor
D0O0LQ,T40694,Inhibitor
DK26FL,T40694,Inhibitor
D05ICT,T42048,Inhibitor
D08BBL,T43115,
DC8EN0,T43115,
D0LF1U,T44458,Inhibitor
D08MKR,T44589,Inhibitor
D0JF9Z,T44589,
D0Z2ZY,T44589,Inhibitor
D05XDZ,T45593,Inhibitor
DVZ6M1,T46216,Inhibitor
D0OQ5R,T46263,
D0P5IZ,T46781,Inhibitor
D00ABO,T47101,
D07NVU,T47107,Inhibitor
D0S5FF,T47366,Inhibitor
D0FD7H,T48429,Agonist
D0X8ID,T50594,Inhibitor
D00LNW,T51407,Inhibitor
D00RYU,T53472,Antagonist
D0J1GR,T53524,Modulator
D07AYI,T54379,Inhibitor
D00RYU,T54902,Antagonist
D0VH4T,T55781,Inhibitor
D0IM6T,T56365,Immunostimulant
D0E0SH,T57700,CAR-T-Cell-Therapy
D0TS2B,T57700,CAR-T-Cell-Therapy
D05XDZ,T58902,Modulator
D01LVE,T58998,Inhibitor
D02YNI,T58998,Inhibitor
D0M2TS,T58998,Inhibitor
D2GY5C,T60345,Inhibitor
D7QHV6,T60345,
D8AOC1,T60345,Inhibitor
D91CMX,T60345,Inhibitor
D9TG4H,T60345,Inhibitor
DHWF68,T60345,
DL1FG3,T60345,
DNS2P1,T60345,Inhibitor
DQD1T2,T60345,Inhibitor
D07NVI,T60636,Modulator
D0N3XT,T61400,Modulator
D08FIX,T61518,Inhibitor
D03MXK,T61683,Modulator
D0G9AW,T62431,Modulator
DI1VM3,T62431,Inhibitor
DMKG40,T63189,
DHWF68,T63239,
D00ABO,T63505,
D09DHT,T64213,Activator
D0L2UQ,T65755,Modulator
D0V0SL,T65755,Modulator
D08ABX,T66426,CAR-T-Cell-Therapy
D0NY1Y,T66426,CAR-T-Cell-Therapy
D0X7CV,T67619,Inhibitor
D6H9TE,T67805,Inhibitor
D0I7IB,T68547,Inhibitor
D07DCG,T69563,Inhibitor
D07VYP,T69563,Inhibitor
D0LF1U,T70508,Inhibitor
D0Z1DH,T70977,Modulator
D00QWK,T71205,CAR-T-Cell-Therapy
D04GGG,T71205,CAR-T-Cell-Therapy(Dual specific)
D0RF4J,T71205,CAR-T-Cell-Therapy(Dual specific)
D4UQ2B,T71205,
D5T9GZ,T71205,
DW01LJ,T71205,
D07TWK,T71266,Modulator
D00HAN,T71377,CAR-T-Cell-Therapy
D04GGG,T71377,CAR-T-Cell-Therapy(Dual specific)
D04MLR,T71377,CAR-T-Cell-Therapy
D07MGC,T71377,
D0AW4T,T71377,CAR-T-Cell-Therapy
D0C3JB,T71377,CAR-T-Cell-Therapy
D0H8UT,T71377,CAR-T-Cell-Therapy
D0JX7M,T71377,CAR-T-Cell-Therapy
D0N4VG,T71377,CAR-T-Cell-Therapy
D0N6PE,T71377,CAR-T-Cell-Therapy
D0R5NU,T71377,CAR-T-Cell-Therapy
D0R7NI,T71377,Modulator
D0YA1B,T71377,
D0Z7QK,T71377,CAR-T-Cell-Therapy
D2GY5C,T71377,Inhibitor
D9TG4H,T71377,Inhibitor
DB4C5H,T71377,
DL1FG3,T71377,
