drug_id,drug_name,drug_smiles
D02IWC,AZD2624,CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)NS(=O)(=O)C
D0TA4A,GLPG0974,CC1(CCN1C(=O)C2=CSC3=CC=CC=C32)C(=O)N(CCCC(=O)O)CC4=CC(=CC=C4)Cl
D09SWM,Epostane,CC12CCC3C(C1CCC2(C)O)CCC45C3(CC(=C(C4(O5)C)O)C#N)C
D07PCI,Carboprost Tromethamine,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O.C(C(CO)(CO)N)O
D04RGA,Dinoprost Tromethamine,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O.C(C(CO)(CO)N)O
D03ZFN,Tromethamine,C(C(CO)(CO)N)O
D04KYB,ASCJ-9,
D08TEJ,Clascoterone,CCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)CO
D00DKK,Isotretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
D02DGU,Tretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
D0D0QQ,Velac Gel,
D0JC9N,Adapalene,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
D0W9JH,BMY-30123,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)OC2=CC=C(C=C2)NC(=O)C)C)C
D07UGA,Sphingosine-1-phosphate,CCCCCCCCCCCCCC=CC(C(COP(=O)(O)O)N)O
D01PHK,PCL-016,
D09AYM,MABp1,
D0Y7ZD,Aminolevulinic acid hci,C(CC(=O)O)C(=O)CN
D0T5TN,CJM112,
D2FCM4,VB 1953,
D0E4WR,Azelaic Acid,C(CCCC(=O)O)CCCC(=O)O
D06ULU,Sucralfate,C(C1C(C(C(C(O1)OC2(C(C(C(O2)COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Al]
D0O6WJ,Ecalcidene,CC(CCC(=O)N1CCCCC1)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C
D0M4VM,Sulfacetamide,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
D0OL6O,Methyl aminolevulinate,COC(=O)CCC(=O)CN
D0L5KF,RU-58841,CC1(C(=O)N(C(=O)N1CCCCO)C2=CC(=C(C=C2)C#N)C(F)(F)F)C
D00UWY,RT-001,CCCCCC=CCC=CCCCCCCCC(=O)OCC
D0UF8E,XOMA-629,
D0W5PN,Radezolid,
D0R0ZL,Clindamycin,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl
D0T6EI,Sarecycline,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)CN(C)OC
D0IJ7O,Metastat,C1C2CC3=C(C(=CC=C3)O)C(=C2C(=O)C4(C1CC(=O)C(=C4O)C(=O)N)O)O
D0C1SI,MK-386,CC1CC2C(CCC(=O)N2C)(C3C1C4CCC(C4(CC3)C)C(C)CCCC(C)C)C
D0P9EL,AS-601811,CC1=CC2=C(C=C1)N3CCC(=O)C(=C3CC2)C
D05AFR,Rolitetracycline,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O
D0R9WP,Demeclocycline,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O
D0Z1UB,NAI-acne,
D0Z5DM,IMD-0354,C1=CC(=C(C=C1Cl)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)O
D06FOU,Trifarotene,CC(C)(C)C1=C(C=CC(=C1)C2=C(C=CC(=C2)C3=CC=C(C=C3)C(=O)O)OCCO)N4CCCC4
D0C4NY,Promestriene,CCCOC1=CC2=C(C=C1)C3CCC4(C(C3CC2)CCC4OC)C
D0O6NA,JNJ-10229570,COC1=CC=CC=C1C2=NC(=NC3=CC=CC=C3)SN2C4=CC=CC=C4OC
D0Y2IE,Cefuroxime,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O
D07UKT,ALRN-6924,
D08TNG,RG7775,
D0OC4O,RG7388,CC(C)(C)CC1C(C(C(N1)C(=O)NC2=C(C=C(C=C2)C(=O)O)OC)C3=C(C(=CC=C3)Cl)F)(C#N)C4=C(C=C(C=C4)Cl)F
D06LYI,BPX-501,
D09DHT,phorbol 12-myristate 13-acetate,CCCCCCCCCCCCCC(=O)OC1C(C2(C(C=C(CC3(C2C=C(C3=O)C)O)CO)C4C1(C4(C)C)OC(=O)C)O)C
D0Q0ZY,PRI-724,CC1C2N(C(C(=O)N1CC3=CC=CC4=C3N=CC=C4)CC5=CC=C(C=C5)OP(=O)(O)O)C(=O)CN(N2C(=O)NCC6=CC=CC=C6)C
