target_id,disease_name,target_disease_approval_status
T28213,Abortion,Phase 2
T40628,Abortion,Investigative
T75797,Abortion,Approved
T99954,Abortion,Approved
T55922,Acidosis,Approved
T11211,Acne vulgaris,Approved
T11822,Acne vulgaris,Approved
T13852,Acne vulgaris,Phase 1
T15639,Acne vulgaris,Phase 2
T16340,Acne vulgaris,Phase 2
T20514,Acne vulgaris,Approved
T22095,Acne vulgaris,Phase 2
T22348,Acne vulgaris,Phase 2
T27265,Acne vulgaris,Approved
T31621,Acne vulgaris,Approved
T34234,Acne vulgaris,Terminated
T34287,Acne vulgaris,Approved
T42822,Acne vulgaris,Approved
T46521,Acne vulgaris,Discontinued in Phase 1
T46616,Acne vulgaris,Phase 2
T50584,Acne vulgaris,Phase 2
T52534,Acne vulgaris,Phase 2
T53601,Acne vulgaris,Approved
T62094,Acne vulgaris,Approved
T68251,Acne vulgaris,Phase 1
T70309,Acne vulgaris,Discontinued in Phase 2
T72545,Acne vulgaris,Phase 2
T72657,Acne vulgaris,Approved
T76855,Acne vulgaris,Phase 2
T78429,Acne vulgaris,Phase 1
T82146,Acne vulgaris,Approved
T89534,Acne vulgaris,Approved
T95302,Acne vulgaris,Phase 2
T34743,Acute bronchitis,Approved
T00176,Acute myeloid leukaemia,Phase 3
T01232,Acute myeloid leukaemia,Phase 1/2
T02262,Acute myeloid leukaemia,Phase 2
T03634,Acute myeloid leukaemia,Phase 1/2
T03691,Acute myeloid leukaemia,Approved
T03963,Acute myeloid leukaemia,Phase 1
T04773,Acute myeloid leukaemia,Phase 3
T06273,Acute myeloid leukaemia,Phase 3
T08014,Acute myeloid leukaemia,Phase 3
T08743,Acute myeloid leukaemia,Phase 2
T10191,Acute myeloid leukaemia,Phase 3
T10822,Acute myeloid leukaemia,Phase 1
T10877,Acute myeloid leukaemia,Phase 1/2
T11211,Acute myeloid leukaemia,Approved
T12646,Acute myeloid leukaemia,Phase 1
T13127,Acute myeloid leukaemia,Phase 3
T14912,Acute myeloid leukaemia,Phase 1
T15610,Acute myeloid leukaemia,Phase 2
T15739,Acute myeloid leukaemia,Phase 2
T15867,Acute myeloid leukaemia,Phase 1/2
T16156,Acute myeloid leukaemia,Investigative
T16422,Acute myeloid leukaemia,Discontinued in Phase 3
T16601,Acute myeloid leukaemia,Phase 1
T16739,Acute myeloid leukaemia,Phase 2
T16769,Acute myeloid leukaemia,Phase 1
T17048,Acute myeloid leukaemia,Phase 1/2
T17485,Acute myeloid leukaemia,Phase 1/2
T17986,Acute myeloid leukaemia,Phase 1
T18779,Acute myeloid leukaemia,Phase 2
T20808,Acute myeloid leukaemia,Approved
T21112,Acute myeloid leukaemia,Approved
T25005,Acute myeloid leukaemia,Phase 1/2
T25258,Acute myeloid leukaemia,Discontinued in Phase 3
T25265,Acute myeloid leukaemia,Phase 1
T28413,Acute myeloid leukaemia,Phase 2
T28484,Acute myeloid leukaemia,Phase 2
T28925,Acute myeloid leukaemia,Approved
