target_id,pathway_name
T29683,Calcium signaling pathway
T29683,Neuroactive ligand-receptor interaction
T28213,cAMP signaling pathway
T40628,
T75797,Calcium signaling pathway
T75797,Neuroactive ligand-receptor interaction
T99954,Neuroactive ligand-receptor interaction
T99954,Vascular smooth muscle contraction
T99954,Platelet activation
T55922,Cysteine and methionine metabolism
T55922,Arginine and proline metabolism
T55922,Metabolic pathways
T11211,Oocyte meiosis
T11211,Pathways in cancer
T11211,Prostate cancer
T11822,
T13852,FoxO signaling pathway
T13852,Sphingolipid signaling pathway
T13852,Neuroactive ligand-receptor interaction
T15639,
T16340,MAPK signaling pathway
T16340,Cytokine-cytokine receptor interaction
T16340,Apoptosis
T16340,Osteoclast differentiation
T16340,Hematopoietic cell lineage
T16340,Non-alcoholic fatty liver disease (NAFLD)
T16340,Type I diabetes mellitus
T16340,Prion diseases
T16340,Salmonella infection
T16340,Pertussis
T16340,Leishmaniasis
T16340,Tuberculosis
T16340,Measles
T16340,Influenza A
T16340,Inflammatory bowel disease (IBD)
T16340,Rheumatoid arthritis
T16340,Graft-versus-host disease
T20514,Porphyrin and chlorophyll metabolism
T20514,Metabolic pathways
T22095,Cytokine-cytokine receptor interaction
T22095,Inflammatory bowel disease (IBD)
T22095,Rheumatoid arthritis
T22348,
T27265,
T31621,MAPK signaling pathway
T31621,Ras signaling pathway
T31621,Rap1 signaling pathway
T31621,PI3K-Akt signaling pathway
T31621,Signaling pathways regulating pluripotency of stem cells
T31621,Regulation of actin cytoskeleton
T31621,Pathways in cancer
T31621,Proteoglycans in cancer
T31621,Melanoma
T34234,Endocrine and other factor-regulated calcium reabsorption
T34234,Mineral absorption
T34234,Tuberculosis
T34287,
T42822,Porphyrin and chlorophyll metabolism
T42822,Metabolic pathways
T46521,Oocyte meiosis
T46521,Pathways in cancer
T46521,Prostate cancer
T46616,
T50584,
T52534,
T53601,
T62094,
T68251,Leukocyte transendothelial migration
T68251,GnRH signaling pathway
T68251,Estrogen signaling pathway
T68251,Pathways in cancer
T68251,Proteoglycans in cancer
T68251,Bladder cancer
T70309,Steroid hormone biosynthesis
T72545,
T72657,
T76855,
T78429,MAPK signaling pathway
T78429,Ras signaling pathway
T78429,Chemokine signaling pathway
T78429,NF-kappa B signaling pathway
T78429,FoxO signaling pathway
T78429,mTOR signaling pathway
T78429,PI3K-Akt signaling pathway
T78429,Apoptosis
T78429,Osteoclast differentiation
T78429,Toll-like receptor signaling pathway
T78429,NOD-like receptor signaling pathway
T78429,RIG-I-like receptor signaling pathway
T78429,Cytosolic DNA-sensing pathway
T78429,T cell receptor signaling pathway
T78429,B cell receptor signaling pathway
T78429,TNF signaling pathway
T78429,Neurotrophin signaling pathway
T78429,Insulin signaling pathway
T78429,Adipocytokine signaling pathway
T78429,Type II diabetes mellitus
T78429,Non-alcoholic fatty liver disease (NAFLD)
T78429,Epithelial cell signaling in Helicobacter pylori infection
T78429,Shigellosis
T78429,Chagas disease (American trypanosomiasis)
T78429,Toxoplasmosis
T78429,Hepatitis C
T78429,Hepatitis B
T78429,Influenza A
T78429,HTLV-I infection
T78429,Herpes simplex infection
T78429,Epstein-Barr virus infection
T78429,Pathways in cancer
T78429,MicroRNAs in cancer
T78429,Pancreatic cancer
T78429,Prostate cancer
T78429,Chronic myeloid leukemia
T78429,Acute myeloid leukemia
T78429,Small cell lung cancer
T82146,
T89534,Estrogen signaling pathway
